trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.05, 'e': 0.5748239465332685}",20,0,-18.56019003840944,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
83,False,"{'a': 0.05, 'e': 0.5332087560371543}",30,4,-8.640224221396888,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.4902608213406994}",25,0,-111.94646673806682,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
85,False,"{'a': 0.05, 'e': 0.4460874899137928}",20,16,9.444065246305327,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.40079917207997545}",25,3,-34.50935931791288,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.05, 'e': 0.3545090650481311}",20,9,-36.934337022880186,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.05, 'e': 0.30733286997841935}",20,1,21.708624010485195,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.05, 'e': 0.2593885027896261}",30,19,13.031563925279496,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.05, 'e': 0.2107957994307797}",25,14,-19.160404887342114,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.05, 'e': 0.1616762163536865}",30,21,18.5956520526843,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.05, 'e': 0.11215252693505398}",20,16,9.445293443419772,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.06234851460699166}",25,0,28.194426525812943,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.05, 'e': 0.01238866346289056}",20,0,-8.982483873842744,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.05, 'e': 0.03760215288797655}",25,10,26.37381169416829,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.05, 'e': 0.08749898343944727}",20,0,18.170047720979,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.05, 'e': 0.13717711210090816}",20,0,25.19918113826804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
